
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-07-13 10:17:57 /build/assets/index-DmQr09XR.js .............. ~ 0.54ms
  2026-07-13 10:17:57 /build/assets/index-BtHCLbfV.js .............. ~ 0.26ms
  2026-07-13 10:17:57 /build/assets/index-Dsmb4WyM.js .............. ~ 0.41ms
  2026-07-13 10:17:57 /build/assets/index-BHWebBNU.js .............. ~ 0.36ms
  2026-07-13 10:17:57 /build/assets/app-Df1GZsGB.css ............... ~ 0.03ms
  2026-07-13 10:17:57 /logo.svg .................................... ~ 0.02ms
  2026-07-13 10:17:57 /_boost/browser-logs ......................... ~ 0.02ms
  2026-07-13 11:15:14 /login ....................................... ~ 6.61ms
  2026-07-13 11:15:15 /build/assets/app-Df1GZsGB.css ............... ~ 0.04ms
  2026-07-13 11:15:15 /build/assets/login-gVEWpINs.js .............. ~ 0.09ms
  2026-07-13 11:15:15 /build/assets/input-error-ClIc-_W6.js ........ ~ 0.22ms
  2026-07-13 11:15:15 /build/assets/text-link-Cn9vO3VV.js .......... ~ 0.33ms
  2026-07-13 11:15:15 /build/assets/button-C2MnCys5.js ............. ~ 0.99ms
  2026-07-13 11:15:15 /build/assets/checkbox-CjyoEogs.js ........... ~ 1.23ms
  2026-07-13 11:15:15 /build/assets/app-3a-l-npF.js ................ ~ 1.60ms
  2026-07-13 11:15:15 /build/assets/input-DFQW7ILG.js .............. ~ 0.07ms
  2026-07-13 11:15:15 /build/assets/label-_0bYYBSG.js .............. ~ 0.23ms
  2026-07-13 11:15:15 /build/assets/auth-layout-D3pL1JCK.js ........ ~ 0.42ms
  2026-07-13 11:15:15 /build/assets/loader-circle-CW_-8z_O.js ...... ~ 0.53ms
  2026-07-13 11:15:15 /build/assets/index-DmQr09XR.js .............. ~ 0.62ms
  2026-07-13 11:15:15 /build/assets/index-BtHCLbfV.js .............. ~ 0.04ms
  2026-07-13 11:15:15 /build/assets/index-Dsmb4WyM.js .............. ~ 0.18ms
  2026-07-13 11:15:15 /build/assets/index-BHWebBNU.js .............. ~ 0.31ms
  2026-07-13 11:15:15 /build/assets/app-Df1GZsGB.css ............... ~ 0.26ms
  2026-07-13 11:15:15 /logo.svg .................................... ~ 0.05ms
  2026-07-13 11:15:15 /_boost/browser-logs ......................... ~ 0.03ms
  2026-07-13 11:15:15 /_boost/browser-logs ......................... ~ 0.04ms
  2026-07-13 11:15:17 /_boost/browser-logs ......................... ~ 0.09ms
  2026-07-13 11:15:18 /_boost/browser-logs ......................... ~ 0.15ms
  2026-07-13 11:15:18 /login ..................................... ~ 500.51ms
  2026-07-13 11:15:19 /_boost/browser-logs ......................... ~ 0.03ms
  2026-07-13 11:15:19 /dashboard ................................... ~ 0.04ms
  2026-07-13 11:15:19 /build/assets/dashboard-k3M8JNNI.js .......... ~ 0.27ms
  2026-07-13 11:15:19 /build/assets/badge-DdtTj_v8.js .............. ~ 0.42ms
  2026-07-13 11:15:19 /build/assets/app-layout-B0KH4Id0.js ......... ~ 0.54ms
  2026-07-13 11:15:19 /build/assets/index-s1VyVOqz.js .............. ~ 0.69ms
  2026-07-13 11:15:19 /build/assets/index-DF4DEjB3.js .............. ~ 0.82ms
  2026-07-13 11:15:19 /build/assets/Combination-BmH5zaPy.js ........ ~ 0.95ms
  2026-07-13 11:15:19 /build/assets/index-B7elZI6B.js .............. ~ 0.75ms
  2026-07-13 11:15:19 /build/assets/index-CA0bjxDv.js .............. ~ 0.23ms
